timestamp,event,hw_timestamp,cmd_speed(s),joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,gripper_state
1626880798567128064,pose_received,1626880798562721967,0.15,0.279,0.000,0.000,0.015,-0.012,0.000,1
1626880798715054080,pose_received,1626880798712310075,0.15,0.349,0.000,0.000,0.015,-0.012,0.000,1
1626880798864686848,pose_received,1626880798862468957,0.15,0.419,0.000,0.000,0.015,-0.012,0.000,1
1626880799014916864,pose_received,1626880799012465000,0.15,0.489,0.000,0.000,0.015,-0.012,0.000,1
1626880799164807936,pose_received,1626880799162467002,0.15,0.559,0.000,0.000,0.015,-0.012,0.000,1
1626880799314652928,pose_received,1626880799312513113,0.15,0.629,0.000,0.000,0.015,-0.012,0.000,1
1626880799464651008,pose_received,1626880799462452888,0.15,0.699,0.000,0.000,0.015,-0.012,0.000,1
1626880799615386880,pose_received,1626880799612445116,0.15,0.769,0.000,0.000,0.015,-0.012,0.000,1
1626880799764617984,pose_received,1626880799762412071,0.15,0.839,0.000,0.000,0.015,-0.012,0.000,1
1626880799914278144,pose_received,1626880799912406921,0.15,0.909,0.000,0.000,0.015,-0.012,0.000,1
1626880800064436992,pose_received,1626880800062372922,0.15,0.979,0.000,0.000,0.015,-0.012,0.000,1
1626880800215462912,pose_received,1626880800212670087,0.15,1.049,0.000,0.000,0.015,-0.012,0.000,1
1626880800364662784,pose_received,1626880800362418889,0.15,1.119,0.000,0.000,0.015,-0.012,0.000,1
1626880800518402048,pose_received,1626880800514231920,0.15,1.189,0.000,0.000,0.015,-0.012,0.000,1
1626880800664477952,pose_received,1626880800662563085,0.15,1.259,0.000,0.000,0.015,-0.012,0.000,1
1626880800814636032,pose_received,1626880800812690019,0.15,1.329,0.000,0.000,0.015,-0.012,0.000,1
1626880800964279808,pose_received,1626880800962481021,0.15,1.399,0.000,0.000,0.015,-0.012,0.000,1
1626880801113190912,pose_received,1626880801112180948,0.15,1.469,0.000,0.000,0.015,-0.012,0.000,1
1626880801263138048,pose_received,1626880801262084960,0.15,1.539,0.000,0.000,0.015,-0.012,0.000,1
1626880801414258944,pose_received,1626880801412395954,0.15,1.609,0.000,0.000,0.015,-0.012,0.000,1
1626880801564727040,pose_received,1626880801562549114,0.15,1.679,0.000,0.000,0.015,-0.012,0.000,1
1626880801714618880,pose_received,1626880801712840080,0.15,1.749,0.000,0.000,0.015,-0.012,0.000,1
1626880801864527104,pose_received,1626880801862721920,0.15,1.819,0.000,0.000,0.015,-0.012,0.000,1
1626880802014355968,pose_received,1626880802012468099,0.15,1.889,0.000,0.000,0.015,-0.012,0.000,1
1626880802164401152,pose_received,1626880802162604093,0.15,1.896,0.000,-0.070,0.015,-0.012,0.000,1
1626880802314467840,pose_received,1626880802312491893,0.15,1.896,0.000,-0.140,0.015,-0.012,0.000,1
1626880802464802048,pose_received,1626880802462723016,0.15,1.896,0.000,-0.210,0.015,-0.012,0.000,1
1626880802615659008,pose_received,1626880802612761974,0.15,1.896,0.000,-0.280,0.015,-0.012,0.000,1
1626880802764410880,pose_received,1626880802762562036,0.15,1.896,0.000,-0.350,0.015,-0.012,0.000,1
1626880802914295040,pose_received,1626880802912405014,0.15,1.896,0.000,-0.420,0.015,-0.012,0.000,1
1626880803065197056,pose_received,1626880803062484979,0.15,1.896,0.000,-0.490,0.015,-0.012,0.000,1
1626880803215329024,pose_received,1626880803212447881,0.15,1.966,0.000,-0.490,0.015,-0.012,0.000,1
1626880803364881152,pose_received,1626880803362387895,0.15,2.036,0.000,-0.490,0.015,-0.012,0.000,1
1626880803514796032,pose_received,1626880803512271881,0.15,2.106,0.000,-0.490,0.015,-0.012,0.000,1
1626880803664593920,pose_received,1626880803662317037,0.15,2.176,0.000,-0.490,0.015,-0.012,0.000,1
1626880803964343040,pose_received,1626880803962466001,0.15,2.176,0.000,-0.560,0.015,-0.012,0.000,1
1626880804115046144,pose_received,1626880804112426042,0.15,2.176,0.000,-0.630,0.015,-0.012,0.000,1
1626880804264781056,pose_received,1626880804262475967,0.15,2.176,0.000,-0.700,0.015,-0.012,0.000,1
1626880805014900992,pose_received,1626880805012255907,0.15,2.176,0.000,-0.770,0.015,-0.012,0.000,1
1626880805164489984,pose_received,1626880805162436962,0.15,2.176,0.000,-0.840,0.015,-0.012,0.000,1
1626880805315254016,pose_received,1626880805312444925,0.15,2.106,0.000,-0.840,0.015,-0.012,0.000,1
1626880805914836992,pose_received,1626880805912389993,0.15,2.106,-0.070,-0.840,0.015,-0.012,0.000,1
1626880806065128960,pose_received,1626880806062789916,0.15,2.106,-0.140,-0.840,0.015,-0.012,0.000,1
1626880806364893952,pose_received,1626880806362411975,0.15,2.106,-0.140,-0.770,0.015,-0.012,0.000,1
1626880806514429952,pose_received,1626880806512478113,0.15,2.106,-0.151,-0.770,0.015,-0.012,0.000,1
1626880806664436992,pose_received,1626880806662451028,0.15,2.106,-0.221,-0.770,0.015,-0.012,0.000,1
1626880806814754048,pose_received,1626880806812500000,0.15,2.106,-0.221,-0.700,0.015,-0.012,0.000,1
1626880807114301952,pose_received,1626880807112322092,0.15,2.106,-0.291,-0.700,0.015,-0.012,0.000,1
1626880807415016960,pose_received,1626880807412679910,0.15,2.106,-0.291,-0.770,0.048,-0.012,0.000,1
1626880807564857088,pose_received,1626880807562472105,0.15,2.106,-0.291,-0.840,0.048,-0.012,0.000,1
1626880808013554176,pose_received,1626880808012140035,0.15,2.106,-0.361,-0.840,0.048,-0.012,0.000,1
1626880808315249920,pose_received,1626880808312858104,0.15,2.106,-0.361,-0.770,0.048,-0.012,0.000,1
1626880808614553856,pose_received,1626880808612436056,0.15,2.106,-0.431,-0.770,0.048,-0.012,0.000,1
1626880808764743168,pose_received,1626880808762304067,0.15,2.106,-0.501,-0.770,0.048,-0.012,0.000,1
1626880809364948992,pose_received,1626880809362413883,0.15,2.036,-0.501,-0.770,0.048,-0.012,0.000,1
1626880810114337024,pose_received,1626880810112306118,0.15,2.036,-0.501,-0.700,0.048,-0.012,0.000,1
1626880810264832000,pose_received,1626880810262422084,0.15,2.036,-0.501,-0.681,0.048,-0.012,0.000,1
1626880810414941184,pose_received,1626880810412405014,0.15,2.036,-0.501,-0.662,0.048,-0.012,0.000,1
1626880811614331904,pose_received,1626880811612164974,0.15,2.036,-0.571,-0.662,0.048,-0.012,0.000,1
1626880812214433024,pose_received,1626880812212352037,0.15,2.036,-0.571,-0.592,0.048,-0.012,0.000,1
1626880812664339968,pose_received,1626880812662316083,0.15,2.036,-0.595,-0.592,0.048,-0.012,0.000,1
1626880813415069184,pose_received,1626880813412362098,0.15,2.036,-0.665,-0.592,0.048,-0.012,0.000,1
1626880815664918016,pose_received,1626880815662419080,0.15,2.036,-0.595,-0.592,0.048,-0.012,0.000,2
1626880815814688000,pose_received,1626880815812441110,0.15,2.036,-0.525,-0.592,0.048,-0.012,0.000,2
1626880815964615936,pose_received,1626880815962426900,0.15,2.036,-0.455,-0.592,0.048,-0.012,0.000,2
1626880816114789120,pose_received,1626880816112411022,0.15,2.036,-0.385,-0.592,0.048,-0.012,0.000,2
1626880816264806144,pose_received,1626880816262315034,0.15,2.036,-0.315,-0.592,0.048,-0.012,0.000,2
1626880816416016128,pose_received,1626880816412548065,0.15,2.036,-0.245,-0.592,0.048,-0.012,0.000,2
1626880816565644032,pose_received,1626880816563368082,0.15,2.036,-0.175,-0.592,0.048,-0.012,0.000,2
1626880816715131904,pose_received,1626880816712412118,0.15,2.036,-0.105,-0.592,0.048,-0.012,0.000,2
1626880816864537856,pose_received,1626880816862441062,0.15,2.036,-0.035,-0.592,0.048,-0.012,0.000,2
1626880817018076928,pose_received,1626880817012445926,0.15,2.036,0.035,-0.592,0.048,-0.012,0.000,2
1626880817165232896,pose_received,1626880817162513017,0.15,2.036,0.105,-0.592,0.048,-0.012,0.000,2
1626880817318960896,pose_received,1626880817315404891,0.15,2.036,0.105,-0.522,0.048,-0.012,0.000,2
1626880817465285120,pose_received,1626880817462436914,0.15,2.036,0.105,-0.452,0.048,-0.012,0.000,2
1626880817619326976,pose_received,1626880817612426042,0.15,2.036,0.105,-0.382,0.048,-0.012,0.000,2
1626880817764719872,pose_received,1626880817762435913,0.15,2.036,0.105,-0.312,0.048,-0.012,0.000,2
1626880817915749120,pose_received,1626880817912415027,0.15,2.036,0.105,-0.242,0.048,-0.012,0.000,2
1626880818064873984,pose_received,1626880818062488079,0.15,2.036,0.105,-0.172,0.048,-0.012,0.000,2
1626880818215696128,pose_received,1626880818212794065,0.15,2.036,0.105,-0.102,0.048,-0.012,0.000,2
1626880818365165824,pose_received,1626880818362510919,0.15,2.036,0.105,-0.032,0.048,-0.012,0.000,2
1626880818513245184,pose_received,1626880818512166023,0.15,2.036,0.105,0.038,0.048,-0.012,0.000,2
1626880818813658880,pose_received,1626880818812036037,0.15,1.966,0.105,0.038,0.048,-0.012,0.000,2
1626880818963634944,pose_received,1626880818962038040,0.15,1.896,0.105,0.038,0.048,-0.012,0.000,2
